order_id,session_id,product_department,item_price,cart_action_count,order_status,order_date,_quarantine_reason,_quarantine_stage,_quarantine_ts
11,,AUTO,92.0,0,ABANDONED,2020-09-24 12:00:10+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
73,,COMPUTERS,204.29,0,ABANDONED,2020-09-24 12:20:13+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
99,,FURNITURE,20.16,0,ABANDONED,2020-09-24 12:27:37+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
129,,UNKNOWN,36.51,0,ABANDONED,2020-09-24 12:39:45+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
172,,COMPUTERS,15.9,0,ABANDONED,2020-09-24 12:53:43+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
206,,UNKNOWN,12.38,0,ABANDONED,2020-09-24 13:11:28+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
209,,COMPUTERS,-65.17,0,ABANDONED,2020-09-24 13:12:30+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
238,,COMPUTERS,64.48,0,ABANDONED,2020-09-24 13:22:58+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
245,,COMPUTERS,13.65,0,ABANDONED,2020-09-24 13:24:50+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
313,,COMPUTERS,63.94,0,ABANDONED,2020-09-24 13:45:11+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
333,,ELECTRONICS,142.22,0,ABANDONED,2020-09-24 13:52:41+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
357,,COMPUTERS,19.94,0,ABANDONED,2020-09-24 14:00:40+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
372,,UNKNOWN,25.32,0,ABANDONED,2020-09-24 14:07:05+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
378,,UNKNOWN,61.22,0,ABANDONED,2020-09-24 14:08:49+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
408,,UNKNOWN,33.87,0,ABANDONED,2020-09-24 14:21:29+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
457,,UNKNOWN,26.35,0,ABANDONED,2020-09-24 14:46:13+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
471,,UNKNOWN,13.46,0,ABANDONED,2020-09-24 14:51:13+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
516,,APPLIANCES,58.3,0,ABANDONED,2020-09-24 15:15:32+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
558,,STATIONERY,58.57,0,ABANDONED,2020-09-24 15:36:29+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
564,,COMPUTERS,204.29,0,ABANDONED,2020-09-24 15:37:29+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
641,,COMPUTERS,76.75,0,ABANDONED,2020-09-24 16:08:57+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
795,,STATIONERY,71.02,0,COMPLETED,2020-09-24 17:25:23+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
822,,UNKNOWN,11.65,0,ABANDONED,2020-09-24 17:41:01+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
841,,COMPUTERS,205.25,0,ABANDONED,2020-09-24 17:47:49+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
875,,UNKNOWN,31.43,0,ABANDONED,2020-09-24 18:03:46+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
879,,UNKNOWN,108.25,0,ABANDONED,2020-09-24 18:05:06+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
883,,ELECTRONICS,29.37,0,ABANDONED,2020-09-24 18:06:19+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
899,,CONSTRUCTION,70.43,0,ABANDONED,2020-09-24 18:15:00+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
902,,ELECTRONICS,12.7,1,COMPLETED,2020-09-24 18:15:50+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
926,,UNKNOWN,12.63,0,ABANDONED,2020-09-24 18:26:16+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
937,,COMPUTERS,157.11,0,ABANDONED,2020-09-24 18:30:20+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
946,,UNKNOWN,57.27,0,ABANDONED,2020-09-24 18:33:27+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1048,,COMPUTERS,50.98,0,ABANDONED,2020-09-24 19:24:34+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1050,,AUTO,-125.4,0,ABANDONED,2020-09-24 19:25:36+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1074,,UNKNOWN,14.37,0,ABANDONED,2020-09-24 19:34:24+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1160,,APPLIANCES,1043.63,0,ABANDONED,2020-09-24 20:22:16+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1169,,UNKNOWN,462.76,0,ABANDONED,2020-09-24 20:27:39+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1202,,ELECTRONICS,10.3,0,ABANDONED,2020-09-24 20:41:40+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1203,,COMPUTERS,370.03,0,ABANDONED,2020-09-24 20:41:53+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1265,,UNKNOWN,16.83,0,ABANDONED,2020-09-24 21:31:47+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1284,,COMPUTERS,26.46,1,COMPLETED,2020-09-24 21:54:00+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1427,,ELECTRONICS,87.16,0,ABANDONED,2020-09-25 01:21:37+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1436,,UNKNOWN,253.56,0,ABANDONED,2020-09-25 01:36:03+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1484,,APPLIANCES,260.02,0,ABANDONED,2020-09-25 03:15:51+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1503,,COMPUTERS,9.29,0,ABANDONED,2020-09-25 03:44:34+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1514,,ELECTRONICS,27.62,0,ABANDONED,2020-09-25 03:52:25+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1516,,ELECTRONICS,89.22,1,ABANDONED,2020-09-25 03:52:35+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1577,,APPLIANCES,63.92,0,ABANDONED,2020-09-25 04:32:36+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1697,,COMPUTERS,107.05,0,ABANDONED,2020-09-25 05:50:22+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1744,,ELECTRONICS,44.44,0,ABANDONED,2020-09-25 06:11:59+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1747,,ELECTRONICS,18.86,0,ABANDONED,2020-09-25 06:12:57+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1753,,UNKNOWN,13.65,0,ABANDONED,2020-09-25 06:15:49+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1800,,ELECTRONICS,160.52,0,ABANDONED,2020-09-25 06:39:49+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1814,,STATIONERY,121.4,0,ABANDONED,2020-09-25 06:45:44+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1887,,COMPUTERS,14.95,0,ABANDONED,2020-09-25 07:16:17+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1902,,COMPUTERS,150.89,0,ABANDONED,2020-09-25 07:21:09+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1922,,ELECTRONICS,10.79,0,ABANDONED,2020-09-25 07:29:00+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1970,,ELECTRONICS,15.08,0,ABANDONED,2020-09-25 07:46:44+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
1971,,STATIONERY,52.05,0,ABANDONED,2020-09-25 07:47:03+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2019,,UNKNOWN,24.92,0,ABANDONED,2020-09-25 08:03:03+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2081,,COMPUTERS,294.41,0,ABANDONED,2020-09-25 08:21:11+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2132,,UNKNOWN,21.11,0,ABANDONED,2020-09-25 08:36:33+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2213,,AUTO,202.38,1,ABANDONED,2020-09-25 09:05:49+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2225,,UNKNOWN,33.94,0,ABANDONED,2020-09-25 09:12:23+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2295,,UNKNOWN,27.3,0,ABANDONED,2020-09-25 09:32:58+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2296,,UNKNOWN,15.03,0,ABANDONED,2020-09-25 09:33:13+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
2328,,ELECTRONICS,390.32,0,ABANDONED,2020-09-25 09:47:14+00:00,missing_required_identifier,check_missing_identifiers,2026-08-19T15:36:27.806108+00:00
